borough,developmen,tds_num,Latitude,Longitude,scores_SCORE,NYCHA-data_CONSOLIDATED TDS#,NYCHA-data_NUMBER OF CURRENT APARTMENTS,NYCHA-data_TOTAL NUMBER OF APARTMENTS,NYCHA-data_NUMBER OF RENTAL ROOMS,NYCHA-data_AVG NO R/R PER APARTMENT,NYCHA-data_POPULATION PUBLIC HOUSING,NYCHA_data_TOTALPOPULATION,NYCHA-data_TOTAL # OF FIXED INCOME HOUSEHOLD,NYCHA-data_PERCENT FIXED INCOME HOUSEHOLDS,NYCHA-data_NUMBER OF RESIDENTIAL BLDGS,NYCHA-data_NUMBER OF NON-RESIDENTIAL BLDGS,NYCHA-data_PER RENTAL ROOM,NYCHA-data_AVG MONTHLY GROSS RENT
BRONX,MORRISANIA AIR RIGHTS,267,40.824132,-73.91772,0.582321524194444,267,841,843,"3,788.5",4.5,"1,681","1,681",428,0.521,3,0,"$10,584.00",$473.00
BRONX,MOTT HAVEN,121,40.812127,-73.922001,0.646341040623188,121,992,993,"4,634.0",4.67,"2,542","2,542",313,0.317,8,1,"$4,456.00",$530.00
STATEN ISLAND,NEW LANE AREA,314,40.613028,-74.061544,0.692560159916667,35,276,277,996.0,3.61,348,348,244,0.891,1,0,"$18,493.00",$327.00
BROOKLYN,NOSTRAND,43,40.596527,-73.936802,0.812280482083333,36,"1,146","1,148","4,966.0",4.33,"2,327","2,327",463,0.41,16,1,"$2,779.00",$516.00
BROOKLYN,O'DWYER GARDENS,172,40.57379,-73.999359,0.880533210083334,172,570,573,"2,204.0",3.87,947,947,305,0.544,6,1,"$6,649.00",$525.00
QUEENS,OCEAN BAY APARTMENTS (OCEANSIDE),51,40.59362,-73.78604,0.915695506444444,165,417,418,"1,766.5",4.24,837,837,140,0.34,7,0,"$2,901.00",$548.00
BROOKLYN,OCEAN HILL-BROWNSVILLE,313,40.676116,-73.919633,0.575206648866667,351,125,125,540.5,4.32,304,304,16,0.131,5,0,"$14,942.00",$599.00
BROOKLYN,OCEAN HILL APARTMENTS,162,40.681028,-73.908366,0.706405135444444,162,238,238,"1,077.0",4.53,640,640,62,0.266,3,1,"$4,527.00",$684.00
MANHATTAN,"PARK AVENUE-EAST 122ND, 123RD STREETS",204,40.80304,-73.939229,0.521862122388889,241,90,90,419.0,4.66,205,205,37,0.42,2,1,"$5,017.00",$542.00
BROOKLYN,PARK ROCK REHAB,351,40.671674,-73.928472,0.7849803894,351,134,134,582.0,4.34,319,319,31,0.235,9,0,"$18,041.00",$679.00
